Name,Description,Founded,Business Model,Employees,Funding Stage,Total Raised,Tags
The Gist,The Gist Personalized Slack Channel Summaries,2021,B2B,11-50,Seed,$7M,"content-management, artificial-intelligence, productivity"
The Sustainable Group,The Sustainable Group AI-powered Circular Self-sustained Infrastructure,2017,"B2B, B2G",1-10,Pre-Funding,$472K,", , , , , , , , , , , , , , , , , , construction, energy-efficiency"
The Vets,The Vets Digital Pet Care Platform,2019,B2B2C,51-200,Seed,$40M,", , , , , , , , , , , , big-data, artificial-intelligence"
Theator,Theator Surgical Intelligence Platform,2018,B2B,51-200,A,$39.5M,", , , , , , , , , , , , video-analytics, computer-vision, saas"
Theia Vision AI,Theia Vision AI Facial Recognition Platform for Lead Generation at Trade Shows,2019,B2B,1-10,Pre-Funding,Undisclosed,", , , , , customer-engagement, computer-vision"
Thermanostics,Thermanostics AI-powered Thermal Imaging Device for Patient Screening,2020,B2B,1-10,Pre-Funding,Undisclosed,", , , , , artificial-intelligence, digital-healthcare"
Thermomind,Thermomind Early-stage Breast Cancer Detection,2022,"B2B, B2G",1-10,Pre-Seed,$12.62M,", , , , , , , , femtech, cancer-diagnostics"
ThinkZ,ThinkZ Real-Time Data Insights for Sustainable Urban Management,2018,B2B,1-10,Seed,Undisclosed,", , , , , , , , advertising, artificial-intelligence, smart-city"
ThirdEye Systems,ThirdEye Systems PUBLIC Thermal Spectrum Security Systems,2010,"B2B, B2G",11-50,Public,Undisclosed,", , , , , , , , , , , , , , , , , , electro-optics, border-security"
Ticket-Compare,Ticket-Compare Ticket Comparison Marketplace for Live Events,2015,B2C,1-10,Pre-Funding,Undisclosed,", , , , , , , , , , , , , recommendations, price-comparison"
Tigapo,Tigapo ACQUIRED IoT Management and Payment System for Coin-operated Machines,2016,B2B,1-10,Acquired,$1M,", , , , , , , management-solutions, mobile-applications"
timbr.ai,timbr.ai SQL Data Analysis,2018,"B2B, B2G",1-10,Seed,$0,", , , , , , , , , , , , , , , , , , , data-management, online-retailers"
TimelinesAI,TimelinesAI Business Communication Solution,2009,B2B,11-50,Mature,Undisclosed,", , , enterprise-solutions, web-development"
TimeStamp,TimeStamp Smart Sticker Technology for Tracking Medication Adherence,2017,B2B,1-10,Pre-Funding,Undisclosed,", , , , , , , , , , , , , , , , , , medical-products, cloud-based"
Timing,Timing AI-Driven Field Service Management Solution,2016,B2B,1-10,Seed,$1.5M,", , , , , , , , , , , , , , , , , , , big-data, fleet-management"
TING.Global,TING.Global Teaching Students Innovation Skills Through Games,2018,"B2B, B2C",1-10,Pre-Funding,Undisclosed,", , , , , , , , , , wisdom-of-crowds, artificial-intelligence"
Tipigo,Tipigo Artificial Intelligence for Portfolio Management,2016,B2B,11-50,Seed,$2.5M,", , , , , , , , , , , , stock-trading, decision-support"
Tiv.Ai,Tiv.Ai Personal Productivity Chatbot,2017,B2C,1-10,Seed,$1.1M,", , , , scheduling, task-management, productivity"
TOKO,TOKO Mental Wellbeing Platform,2024,B2B,1-10,Pre-Funding,Undisclosed,", , , digital-therapeutics, well-being, wellness"
TomBot AI,TomBot AI eCommerce Business Automation,2017,"B2B, B2B2C, B2C",1-10,Pre-Funding,Undisclosed,", , , , lead-generation, customer-service, chatbot"
Tomobox,Tomobox AI-powered Customer Engagement Platform,2014,B2B,1-10,Mature,Undisclosed,", , , , , , , , , , , , , , , , , customer-retention, natural-language-processing"
tons.ai,tons.ai Training Solution for Machine Learning Models,2020,B2B,11-50,Pre-Funding,Undisclosed,", , , , , , , , web-platform, data-science, cloud"
Toonimo,Toonimo Audio-visual Guidance Platform for Website Visitors,2012,"B2B, B2G",11-50,Mature,$4.6M,", , , , , , , , , , , , , , , , , financial-institutions, insurance-companies"
TOOTYA,TOOTYA AI Business Consultant - Connects SMBs with AI Automation Solutions,2024,"B2B, B2G",1-10,Pre-Funding,Undisclosed,", , software-applications, marketplace"
Tope AI,Tope AI Protecting Web Applications from Advanced Cyber Attacks Using Adaptive AI,2023,B2B,1-10,Seed,Undisclosed,", website-security, cyber-security"
TOPeration,TOPeration Operations and Workforce Management Platform for Brick and Mortar Retailers,2017,B2B,1-10,Seed,Undisclosed,", , , , , , , , , , , , retail, ecommerce"
Topicx,Topicx Conversational AI Chatbot for Businesses,2020,"B2B, B2B2C",1-10,Pre-Funding,Undisclosed,"chatbot, artificial-intelligence"
Totango,Totango Customer Data Analysis,2010,B2B,51-200,D,$135.3M,", , , , , , , , , , , , , customer-experience, enterprise-solutions"
Traceloop,Traceloop Microservice Architecture Testing,2022,B2B,1-10,Pre-Funding,Undisclosed,", business-process-management, test-automation"
TrackiMed,TrackiMed Hospital Operating Room's Silent Champion The First-of-a-Kind Tailored AI Virtual Nurse Assistant,2021,B2B,1-10,Pre-Funding,Undisclosed,", , , , , computer-vision, operating-rooms"
TRACXPOiNT,TRACXPOiNT AI-powered Grocery Cart Technology,2015,"B2B, B2B2C",11-50,Pre-Funding,Undisclosed,", , , , , , , , , , , , computer-vision, iot, payments"
Trapica,Trapica AI-based Marketing Tools,2017,"B2B, B2B2C",11-50,Seed,Undisclosed,", , , , , , , , , machine-learning, social-platform"
Trax Retail,Trax Retail Cloud-based Retail Management Solutions,2010,B2B,500+,E,$1.01B,", , , , , , , , , , , , , marketing, business-intelligence"
Treat,Treat Mobile Gaming and Pet Care,2020,B2C,11-50,Seed,$2.42M,", games, dogs, artificial-intelligence, pets"
Treebute,Treebute Business Intelligence Platform for Rapid Innovation Sourcing,2018,"B2B, B2G",1-10,Pre-Seed,$1M,", , , , , , , , , , , , artificial-intelligence, business-intelligence"
Treetoscope,Treetoscope Direct Plant-sensing Technology for Irrigation Management,2020,"B2B, B2B2C",11-50,Seed,$10M,", , , , , , , , , , , , , , agtech, foodtech, iot, dashboard"
Tremor International,Tremor International PUBLIC Video-first Advertising Technology Platform,2007,B2B,11-50,Public,$103.1M,", , , , , , , , , , , user-acquisition, media-buying"
Trenario,Trenario AI-powered Digital Human Avatars,2014,B2B,1-10,Mature,Undisclosed,", , , , , , , , , , , , , , customer-service, healthcare-providers, news"
Trigo,Trigo Retail Automation Platform,2018,B2B,201-500,C,$204M,", , , , , , , , , , , ecommerce, machine-learning"
Trinity Audio,Trinity Audio ACQUIRED Smart Audio Creation,2018,B2B,11-50,Acquired,Undisclosed,", , , , user-engagement, artificial-intelligence"
Triple Whale,Triple Whale Business Management App for Online Retailers,2021,B2B,51-200,B,$52.7M,", , , , , , , automation, smb, saas"
TropX,TropX AI-driven Smart Suit for Personal Training,2018,B2B2C,1-10,Pre-Funding,$0,", , , , , , , , , sports, artificial-intelligence, fitness"
Trough.AI,Trough.AI Monitoring and Deriving Insights using AI device in Livestock Farming,2023,"B2B, B2C",1-10,Pre-Funding,Undisclosed,", , , , , , , , livestock, deep-learning"
TRSTai,TRSTai Real-time AI/ML Audit and Remediation Solution,2021,B2B,1-10,Seed,Undisclosed,", artificial-intelligence, authentication"
Trullion,Trullion AI-Powered Accounting Software,2019,B2B,51-200,A,$33.5M,", , , , , enterprise-solutions, accounting, fintech"
Trunovate,Trunovate Manufacturing Execution and Predictive Maintenance Technologies,2005,B2B,11-50,Mature,$115K,", , , , , , , , , , , , , , , , oil-and-gas-companies, predictive-maintenance"
Trusstor,Trusstor AI-based Construction Management System,2019,B2B,11-50,Seed,$4.5M,", , , , , , , , , , , , , asset-tracking, iot, wearable"
Tuqqi,Tuqqi Workflow Management Solution for Traditional Organizations,2017,"B2B, B2G",1-10,Seed,$0,", , , , , , , , , , , , , , , , , knowledge-base, knowledge-management"
tuto,tuto User-generated Product Information,2020,B2B2C,1-10,Seed,Undisclosed,", , , , user-engagement, machine-learning"
Tuvis,Tuvis Enterprise-level Conversational Sales Solution,2019,"B2B, B2B2C",11-50,Seed,$11M,", , , , , , , open-source, sales-automation, crm"
Tweaks,"Tweaks Empowers Builders, Designers, and Suppliers to Realistically Transform Homes",2022,"B2B, B2C",11-50,Pre-Seed,Undisclosed,", , web-platform, artificial-intelligence, design"
Twee.com,Twee.com AI-powered Language Learning Experience Platform for Teachers and Students,2024,"B2B, B2B2C, B2C",1-10,Pre-Funding,Undisclosed,", , , e-learning, language, edtech"
Twill,Twill ACQUIRED Behavioral Health and Wellness App,2021,B2C,51-200,Acquired,Undisclosed,", , patients, digital-healthcare"
Twofold,Twofold AI Medical Scribe for Clinicians,2023,B2B,1-10,Pre-Funding,Undisclosed,", , , digital-healthcare, clinical-workflow"
TytoCare,TytoCare Remote Primary Care and a Home Smart Clinic,2012,"B2B, B2B2C, B2C",201-500,D,$203.7M,", , , , , , , , , , , , , , , , telehealth, mobile-applications, home-care"
Ukko,Ukko Safer Proteins for People with Food Allergies and Sensitivities,2016,B2B,51-200,B,$47.7M,", , , , , , , , , , proteins, artificial-intelligence"
Ultra Information Solutions,Ultra Information Solutions Digital Identity Solution for Governments and Corporations,2016,"B2B, B2G",51-200,A,Undisclosed,", , , , , , , , competitive-intelligence, data-analytics"
UltraSight,UltraSight Cardiac Ultrasound with Real-time AI Guidance,2019,B2B,11-50,B,$15.2M,", , , , , , , , , , ultrasound, medical-image-analysis, cardiology"
Ultrawis,Ultrawis Crane Automation Solutions,2019,B2B,1-10,A,$3M,", , , , , , , , , , , , , , , sensors, image-processing"
Ulvera AI,Ulvera AI AI-based Ultrasound Device for Skin Tightening and Fat Reduction,2020,B2B,1-10,Pre-Funding,Undisclosed,", , , , , , , artificial-intelligence, medical-devices"
Umedic,Umedic Wearable Medical Device and AI-system for Quick Identification of Patient's Conditions in ER,2023,"B2B, B2G",1-10,Pre-Seed,$30K,", medical-devices, healthcare-providers, healthcare"
Unframe Tech,Unframe Tech Stealth Mode Company,2024,,1-10,Pre-Funding,Undisclosed,"enterprise-software, artificial-intelligence"
Uniper Care Technologies,Uniper Care Technologies AI-based In-home Assistance Platform for the Elderly,2015,"B2B, B2B2C, B2G",51-200,A,$20.85M,", , , , , , , , , , , , , , , , , , , , digital-therapeutics, patient-engagement, wellness"
UNIQAI Systems,UNIQAI Systems Artificial Intelligence for Planning and Decision-making,2016,"B2B, B2G",11-50,Pre-Funding,Undisclosed,", , , , , , , , , , , , , , planning, first-responders"
Unispectral,Unispectral Hyperspectral Imaging Platform,2014,"B2B, B2G",11-50,A,$11.2M,", , , , , , , , , , , , , , , spectroscopy, object-recognition"
Unispher,Unispher Crowdsourcing Educational Platform,2021,"B2B, B2G",1-10,Pre-Funding,Undisclosed,", digital-media, 3d-technology, education"
Unity SCM,Unity SCM SaaS-based Supply Chain Operation Platform,2020,B2B,11-50,A,$10M,", , , , , , , , , , , , , , , , medical-device-manufacturers, enterprise-solutions"
Unlimited Robotics,Unlimited Robotics Customizable Service Robot for Diverse Environments,2020,B2B,11-50,Seed,$15M,", , , , , , , , , , developers, retail, hospitality"
Upstream Security,Upstream Security Cloud-based Security Platform for Connected and Autonomous Fleets,2017,B2B,51-200,C,$105M,", , , , , , , , , , , , , telematics, autonomous-vehicles"
Upword,Upword AI-powered Summarization Solution,2020,"B2B, B2C",11-50,Pre-Seed,$3M,", , , , , , , , , , , , automation, higher-education"
Urban Dashboard,Urban Dashboard Early-stage Planning Optimization Platform,2019,"B2B, B2G",1-10,Pre-Funding,Undisclosed,", , , , , , , real-estate, artificial-intelligence"
Urecsys,Urecsys Air Quality Optimization Solution,2012,B2B,11-50,B,$14.5M,", , , , , , , , , , , , , artificial-intelligence, software-applications, smart-city"
Usearch,Usearch Online Search Engine Based on Synthetic Data,2018,B2B,1-10,Pre-Funding,$170K,", , , , , web-platform, search-engine"
User1st,User1st Leading Web Accessibility Solutions for Organizations,2012,"B2B, B2G",11-50,Mature,$6.5M,", , , , , , , , , , , , , , , , software-testing, website-owners, engineering"
UserWay,UserWay ACQUIRED Web Accessibility Solutions for WCAG and ADA Compliance,2019,B2B,51-200,Acquired,$14.5M,", , , , , , , , , , , , , , , , , , , , , , , , compliance, cosmetic-companies"
UVeye,UVeye Under-vehicle Inspection System,2016,"B2B, B2G",201-500,D,$198.6M,", , , , , , , , , , , , , , , , , , , , , , , maintenance, scanning, safety"
Valerann,Valerann Autonomous Traffic Control and Monitoring System,2013,"B2B, B2G",11-50,A,$24M,", , , , , , , , , , , , , autonomous-vehicles, wireless-control"
Valid Network,Valid Network Blockchain Assurance Platform,2017,B2B,1-10,Seed,$8M,", , , , , , , automation, risk-management, anti-fraud"
VALOP,VALOP AI-powered SaaS for Sustainable Goal Achievement in Enterprises,2023,B2B,1-10,Pre-Funding,Undisclosed,", , , saas, business-intelligence"
Vanilla Vida,Vanilla Vida Precision Farming & Controlled Curing Enhance Vanilla Cultivation,2020,B2B,11-50,A,$16.9M,", , , , , , artificial-intelligence, foodtech, agtech"
Vanti Analytics,Vanti Analytics AI-powered Manufacturing Optimization Platform,2019,B2B,11-50,A,$22M,", , , , , , , , , , , , , anomaly-detection, ai-process-optimization"
Variantyx,Variantyx Advanced Genomic Diagnostic Solutions,2014,"B2B, B2B2C",51-200,D,$113.5M,", , , , , , , , , , , , , , , , , , , , digital-healthcare, artificial-intelligence"
Varolio,Varolio Enterprise Communication OS,2023,B2B,1-10,Pre-Funding,Undisclosed,", , , enterprise-software, artificial-intelligence"
Vault,Vault Predictive Insights Platform for the Media Industry,2015,B2B,11-50,A,$9.4M,", , , , , , , , , , , , , , audience-targeting, machine-learning"
VBact,VBact Automated Systems for Detecting Bacteria,2010,"B2B, B2G",1-10,Mature,Undisclosed,", , , , , , , , , , , , , , , , , , water-utilities, municipalities"
VComm,VComm AI-based Predictive Decisions Platform for Connected Vehicles,2019,"B2B, B2B2C",1-10,Pre-Funding,Undisclosed,", , , , , , , , , e-scooter, wireless-communication, road-safety"
Vdeep,Vdeep AI-based Real-time Language Translation for Video Streams,2019,"B2B, B2B2C, B2C",1-10,Pre-Funding,Undisclosed,", , , , , , , , , , , , , , , , , , , , , teachers, government, police"
Vectored Photonics,Vectored Photonics Contextual Personal Monitoring and Servicing Platform,2016,"B2B, B2C",1-10,Pre-Funding,$556K,", , , , , , , , , , , , , , , , , , , patients, iot, robotics, optronics"
Vectorious Medical Technologies,Vectorious Medical Technologies Miniature Implant for Left Atrial Monitoring,2011,"B2B, B2B2C",51-200,B,$17.5M,", , , , , , , , , , , , , digital-healthcare, decision-support, cloud"
Veego Software,Veego Software Connected Home Experience Solutions,2018,B2B,11-50,A,$17.5M,", , , , , , , , , , telecommunication, wireless-communication"
Velotix,Velotix AI-powered Data Security Platform,2020,B2B,51-200,Seed,$10M,", , , , , , artificial-intelligence, enterprise-solutions"
VenoVision,"VenoVision Non-invasive, easy-to-use advanced cardiac and hemodynamic monitoring.",2022,B2B,1-10,Pre-Seed,$137.5K,", , , , , , , , , , , , , , , , , , decision-support, healthcare-providers"
Verbit,Verbit A/V Captioning and Transcription Solutions,2017,"B2B, B2G",500+,E,$532M,", , , , , , , , , , , , , , , , , enterprise-solutions, natural-language-processing, legaltech"
Versatile,Versatile Process Control Solution for Construction Sites,2016,B2B,201-500,B,$108.53M,", , , , , , , , , , productivity, industry-4.0, sensors"
Via,Via Urban Transportation Optimization Platform,2012,"B2B, B2B2C, B2C, B2G",500+,G,$1.03B,", , , , , , , , , , , , public-transportation, natural-language-processing"
Vibe Imaging Analytics,Vibe Imaging Analytics Quality Control Through Computer Vision,2011,B2B,11-50,Mature,$700K,", , , , , , , , , , , , , , , , , foodtech, saas, optronics"
Video-inform,Video-inform Cognitive Vision Solutions,2007,"B2B, B2G",1-10,Mature,Undisclosed,", , , , , , , , , , , , , sensors, smart-mobility, safety"
Videocites,Videocites Video-based Search Engine for Broadcasting Monitoring,2014,B2B,51-200,B,$10M,", , , , , , , , , , , , , saas, artificial-intelligence"
VIDIA,VIDIA AI-based Quality Control Solution for Manufacturing Plants,2017,B2B,1-10,Pre-Funding,Undisclosed,", , , , , , , , , military, food-and-beverage"
ViewNetic,ViewNetic Pest and Disease Detection System,2018,B2B,1-10,Seed,$1.94M,", , , , , , agtech, pest-management"
Vinst,Vinst AI-powered Cooking Companion,2022,"B2B, B2C",1-10,Pre-Funding,Undisclosed,"artificial-intelligence, cooking, foodtech"
Viridian Analytics,Viridian Analytics Global Sustainability Information Platform,2021,"B2B, B2G",11-50,Seed,$3.5M,", , , , , , , , , , cloud, artificial-intelligence"
Virtual Spirits,"Virtual Spirits Chatbot Platform for Lead Generation, Customer Service, and Sales",2006,"B2B, B2C, B2G",1-10,Mature,Undisclosed,", , , , , , , , , , , , enterprises, smb, chatbot"
VirusBay,VirusBay Threat Intelligence Management,2018,B2B,1-10,Pre-Funding,Undisclosed,", , , , , , , , , , , , , natural-language-processing, collaboration"
Virusight Diagnostic,Virusight Diagnostic AI-based Pathogen Diagnosis Solution,2020,"B2B2C, B2G",1-10,Pre-Funding,Undisclosed,", , , , , , , , diagnostics, machine-learning"
Visionary.ai,Visionary.ai AI-based Image Signal Processing Solution,2020,B2B,11-50,Seed,$8M,", , , , , , , , computer-vision, driver-safety"
Visual Factories,Visual Factories Real-time Monitoring and Control Platform,2014,B2B,11-50,Mature,$2M,", , , , , , , , , manufacturing-facilities, machine-learning, real-time"
